id;time_seconds;temperature
1579;387300;57.36197
1580;387600;57.36087
1581;387900;57.36039
1582;388200;57.36018
1583;388500;57.36012
1584;388800;57.36012
1585;389100;57.36012
1586;389400;57.36012
1587;389700;57.36012
1588;390000;57.36012
1589;390300;57.36012
1590;390600;57.36012
1591;390900;57.36012
1592;391200;57.36012
1593;391500;57.29083
1594;391800;57.03545
1595;392100;56.86982
1596;392400;56.79314
1597;392700;56.75949
1598;393000;56.74488
1599;393300;56.73853
1600;393600;56.73577
1601;393900;56.73457
1602;394200;56.73406
1603;394500;56.73383
1604;394800;56.73376
1605;395100;56.73376
1606;395400;56.73376
1607;395700;56.73376
1608;396000;56.73376
1609;396300;56.73376
1610;396600;56.73376
1611;396900;56.73376
1612;397200;56.73376
1613;397500;56.73376
1614;397800;56.73376
1615;398100;56.73376
1616;398400;56.73376
1617;398700;56.73376
1618;399000;56.73376
1619;399300;56.73376
